,proportion
LtLtL,0.0
LtLtT,0.0
LtTcC,0.0
LtTcL,0.0
LtTcT,0.0
LtTlC,0.0
LtTlL,0.0
LtTlT,0.0
LtTtC,0.0
LtTtL,0.0
LtTtT,0.0
TcCcC,0.0
TcCcL,0.0
TcCcT,0.0
TcClC,1.0537441108876e-06
TcClL,0.0
TcClT,0.0
TcCtC,0.0
TcCtL,0.0
TcCtT,0.0
TcLcC,1.0537441108876e-06
TcLcL,0.0
TcLcT,0.0
TcLlC,0.0
TcLlL,0.0
TcLlT,0.0
TcLtC,0.0
TcLtL,0.0
TcLtT,0.0
TcTcC,0.0
TcTcL,0.0
TcTcT,0.0
TcTlC,0.0
TcTlL,0.0
TcTlT,0.0
TcTtC,0.0
TcTtL,0.0
TcTtT,0.0
TlCcC,0.0
TlCcL,0.0
TlCcT,0.0
TlClC,0.0
TlClL,0.0
TlClT,0.0
TlCtC,0.0
TlCtL,0.0
TlCtT,0.0
TlLcC,0.0
TlLcL,0.0
TlLcT,0.0
TlLlC,1.0537441108876e-06
TlLlL,0.0
TlLlT,0.0
TlLtC,0.0
TlLtL,0.0
TlLtT,0.0
TlTcC,0.0
TlTcL,0.0
TlTcT,0.0
TlTlC,0.0
TlTlL,0.0
TlTlT,0.0
TlTtC,0.0
TlTtL,0.0
TlTtT,0.0
TtCcC,0.0
TtCcL,0.0
TtCcT,0.0
TtClC,0.0
TtClL,0.0
TtClT,0.0
TtCtC,0.0
TtCtL,0.0
TtCtT,0.0
TtLcC,0.0
TtLcL,0.0
TtLcT,0.0
TtLlC,0.0
TtLlL,0.0
TtLlT,0.0
TtLtC,0.0
TtLtL,0.0
TtLtT,0.0
TtTcC,0.0
TtTcL,0.0
TtTcT,0.0
TtTlC,0.0
TtTlL,0.0
TtTlT,0.0
TtTtC,0.0
TtTtL,0.0
TtTtT,0.0
